0,1,2
"[42159607791.422, 31759607791.42199, 30253430661.464115]","[31759607791.421986, 42159607791.421974, 30253430661.464104]","[30253430661.464123, 30253430661.464104, 33631730418.660934]"
"[131098199533.01115, 3327877372.761052, 0.0]","[3327877372.761052, 10084476887.154703, 0.0]","[0.0, 0.0, 5200000000.0]"
"[42159607791.422, 31759607791.42199, -30253430661.464115]","[31759607791.421986, 42159607791.421974, -30253430661.464104]","[-30253430661.464123, -30253430661.464104, 33631730418.660934]"
"[10084476887.154703, 3327877372.761052, 2e-07]","[3327877372.761052, 131098199533.01115, 7.2e-06]","[2e-07, 7.2e-06, 5200000000.0]"
"[42159607791.422, 31759607791.42199, 30253430661.464115]","[31759607791.421986, 42159607791.421974, 30253430661.464104]","[30253430661.464123, 30253430661.464104, 33631730418.660934]"
"[131098199533.01115, 3327877372.761052, 0.0]","[3327877372.761052, 10084476887.154703, 0.0]","[0.0, 0.0, 5200000000.0]"
"[42159607791.422, 31759607791.42199, -30253430661.464115]","[31759607791.421986, 42159607791.421974, -30253430661.464104]","[-30253430661.464123, -30253430661.464104, 33631730418.660934]"
"[10084476887.154703, 3327877372.761052, 2e-07]","[3327877372.761052, 131098199533.01115, 7.2e-06]","[2e-07, 7.2e-06, 5200000000.0]"
"[42159607791.422, 31759607791.42199, 30253430661.464115]","[31759607791.421986, 42159607791.421974, 30253430661.464104]","[30253430661.464123, 30253430661.464104, 33631730418.660934]"
"[131098199533.01115, 3327877372.761052, 0.0]","[3327877372.761052, 10084476887.154703, 0.0]","[0.0, 0.0, 5200000000.0]"
"[42159607791.422, 31759607791.42199, -30253430661.464115]","[31759607791.421986, 42159607791.421974, -30253430661.464104]","[-30253430661.464123, -30253430661.464104, 33631730418.660934]"
"[10084476887.154703, 3327877372.761052, 2e-07]","[3327877372.761052, 131098199533.01115, 7.2e-06]","[2e-07, 7.2e-06, 5200000000.0]"
"[10084476887.154703, 3327877372.761052, 2e-07]","[3327877372.761052, 131098199533.01115, 7.2e-06]","[2e-07, 7.2e-06, 5200000000.0]"
"[42159607791.422, 31759607791.42199, -30253430661.464115]","[31759607791.421986, 42159607791.421974, -30253430661.464104]","[-30253430661.464123, -30253430661.464104, 33631730418.660934]"
"[131098199533.01115, 3327877372.761052, 0.0]","[3327877372.761052, 10084476887.154703, 0.0]","[0.0, 0.0, 5200000000.0]"
"[42159607791.422, 31759607791.42199, 30253430661.464115]","[31759607791.421986, 42159607791.421974, 30253430661.464104]","[30253430661.464123, 30253430661.464104, 33631730418.660934]"
"[10084476887.154703, 3327877372.761052, 2e-07]","[3327877372.761052, 131098199533.01115, 7.2e-06]","[2e-07, 7.2e-06, 5200000000.0]"
"[42159607791.422, 31759607791.42199, -30253430661.464115]","[31759607791.421986, 42159607791.421974, -30253430661.464104]","[-30253430661.464123, -30253430661.464104, 33631730418.660934]"
"[131098199533.01115, 3327877372.761052, 0.0]","[3327877372.761052, 10084476887.154703, 0.0]","[0.0, 0.0, 5200000000.0]"
"[42159607791.422, 31759607791.42199, 30253430661.464115]","[31759607791.421986, 42159607791.421974, 30253430661.464104]","[30253430661.464123, 30253430661.464104, 33631730418.660934]"
"[10084476887.154703, 3327877372.761052, 2e-07]","[3327877372.761052, 131098199533.01115, 7.2e-06]","[2e-07, 7.2e-06, 5200000000.0]"
"[42159607791.422, 31759607791.42199, -30253430661.464115]","[31759607791.421986, 42159607791.421974, -30253430661.464104]","[-30253430661.464123, -30253430661.464104, 33631730418.660934]"
"[131098199533.01115, 3327877372.761052, 0.0]","[3327877372.761052, 10084476887.154703, 0.0]","[0.0, 0.0, 5200000000.0]"
"[42159607791.422, 31759607791.42199, 30253430661.464115]","[31759607791.421986, 42159607791.421974, 30253430661.464104]","[30253430661.464123, 30253430661.464104, 33631730418.660934]"
