0,1
"[-130352128.67070399, -57792126.24804277, -71819762.6851873]","[-119489451.28147867, -52976115.727372535, -65834782.461421676]"
"[-594876348.439358, 3018090.847860468, 2786219.6467466364]","[-540796680.3994163, 2743718.9526004284, 2532926.951587851]"
"[-138099746.93087515, -77633078.2453241, 92613923.93225731]","[-124289772.23778762, -69869770.42079169, 83352531.53903158]"
"[-32885860.428238086, 181865791.88273308, 2279634.2564290767]","[-29231875.936211634, 161658481.6735405, 2026341.5612702905]"
"[-86901419.11380269, -38528084.165361844, -47879841.79012486]","[-76038741.72457734, -33712073.64469162, -41894861.56635925]"
"[-378557676.2795915, 1920603.2668202985, 1773048.8661114962]","[-324478008.2396498, 1646231.3715602548, 1519756.1709527108]"
"[-82859848.1585251, -46579846.94719447, 55568354.3593544]","[-69049873.46543758, -38816539.12266205, 46306961.966128655]"
"[-18269922.46013227, 101036551.04596283, 1266463.4757939314]","[-14615937.968105817, 80829240.83677025, 1013170.7806351453]"
"[-43450709.55690134, -19264042.082680922, -23939920.89506243]","[-32588032.167676006, -14448031.562010696, -17954940.671296824]"
"[-162239004.11982492, 823115.6857801276, 759878.0854763555]","[-108159336.07988332, 548743.7905200854, 506585.3903175705]"
"[-27619949.386175044, -15526615.649064831, 18522784.786451474]","[-13809974.693087531, -7763307.82453242, 9261392.393225743]"
"[-3653984.4920264585, 20207310.209192585, 253292.69515878655]","[0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0]","[3653984.492026453, -20207310.209192563, -253292.6951587862]"
"[13809974.69308751, 7763307.824532408, -9261392.39322573]","[27619949.38617502, 15526615.649064817, -18522784.78645146]"
"[108159336.07988323, -548743.7905200851, -506585.3903175701]","[162239004.11982486, -823115.6857801279, -759878.0854763552]"
"[32588032.167675983, 14448031.562010683, 17954940.671296816]","[43450709.55690132, 19264042.08268092, 23939920.895062424]"
"[14615937.968105812, -80829240.83677025, -1013170.7806351448]","[18269922.460132267, -101036551.04596278, -1266463.475793931]"
"[69049873.46543756, 38816539.122662045, -46306961.966128655]","[82859848.15852505, 46579846.94719444, -55568354.35935437]"
"[324478008.2396497, -1646231.3715602558, -1519756.1709527103]","[378557676.2795913, -1920603.2668202992, -1773048.8661114953]"
"[76038741.72457731, 33712073.644691594, 41894861.56635924]","[86901419.11380264, 38528084.16536184, 47879841.79012485]"
"[29231875.936211623, -161658481.6735405, -2026341.5612702896]","[32885860.42823808, -181865791.88273305, -2279634.2564290757]"
"[124289772.2377876, 69869770.42079169, -83352531.53903157]","[138099746.93087512, 77633078.24532409, -92613923.93225731]"
"[540796680.3994162, -2743718.9526004237, -2532926.9515878507]","[594876348.4393579, -3018090.847860467, -2786219.6467466354]"
"[119489451.28147864, 52976115.727372535, 65834782.461421676]","[130352128.67070399, 57792126.24804277, 71819762.6851873]"
